match_type,gene
symbol,Abhd8
symbol,Abi1
symbol,Abi2
symbol,Abi3
symbol,Abl1
symbol,Abl2
symbol,Ablim1
symbol,Ablim2
symbol,Ablim3
symbol,Abr
symbol,Abra
symbol,Abracl
symbol,Abraxas1
symbol,Abraxas2
symbol,Abt1
symbol,Abtb1
symbol,Abtb2
symbol,Acaa1a
symbol,Acaa1b
symbol,Acaa2
symbol,Acaca
symbol,Acacb
symbol,Acad10
symbol,Acad11
symbol,Acad12
symbol,Acad8
symbol,Acad9
symbol,Acadl
symbol,Acadm
symbol,Acads
symbol,Acadsb
symbol,Acadvl
symbol,Acap1
symbol,Acap2
symbol,Acap3
symbol,Acat1
symbol,Acat2
symbol,Acat3
symbol,Acbd3
symbol,Acbd4
symbol,Acbd5
symbol,Acbd6
symbol,Acbd7
symbol,Accs
symbol,Acd
symbol,Ace
symbol,Acer2
symbol,Acer3
symbol,Acin1
symbol,Ackr3
symbol,Ackr4
symbol,Acly
symbol,Aco1
symbol,Aco2
symbol,Acot1
symbol,Acot11
symbol,Acot12
symbol,Acot13
symbol,Acot2
symbol,Acot4
symbol,Acot6
symbol,Acot7
symbol,Acot8
symbol,Acot9
symbol,Acox1
symbol,Acox3
symbol,Acoxl
symbol,Acp1
symbol,Acp2
symbol,Acp6
symbol,Acpp
symbol,Acrbp
symbol,Acsbg1
symbol,Acsf2
symbol,Acsf3
symbol,Acsl1
symbol,Acsl3
symbol,Acsl4
symbol,Acsl5
symbol,Acsl6
symbol,Acss2
symbol,Acss3
symbol,Acta1
symbol,Acta2
symbol,Actb
symbol,Actc1
symbol,Actg1
symbol,Actg2
symbol,Actl6a
symbol,Actn1
symbol,Actn2
symbol,Actn3
symbol,Actn4
symbol,Actr10
symbol,Actr1a
symbol,Actr1b
symbol,Actr2
symbol,Actr3
symbol,Actr3b
symbol,Actr5
symbol,Actr6
symbol,Actr8
symbol,Acvr1
symbol,Acvr1b
symbol,Acvr2a
symbol,Acvr2b
symbol,Acy1
symbol,Acy3
symbol,Acyp1
symbol,Acyp2
symbol,Ada
symbol,Adal
symbol,Adam10
symbol,Adam11
symbol,Adam12
symbol,Adam15
symbol,Adam17
symbol,Adam19
symbol,Adam1a
symbol,Adam21
symbol,Adam23
symbol,Adam3
symbol,Adam32
symbol,Adam5
symbol,Adam8
symbol,Adam9
symbol,Adamts1
symbol,Adamts10
symbol,Adamts12
symbol,Adamts14
symbol,Adamts16
symbol,Adamts17
symbol,Adamts2
symbol,Adamts3
symbol,Adamts4
symbol,Adamts5
symbol,Adamts6
symbol,Adamts7
symbol,Adamtsl1
symbol,Adamtsl3
symbol,Adamtsl4
symbol,Adamtsl5
symbol,Adap1
symbol,Adap2
symbol,Adar
symbol,Adarb1
symbol,Adat1
symbol,Adat2
symbol,Adat3
symbol,Adck1
symbol,Adck2
symbol,Adck5
symbol,Adcy1
symbol,Adcy10
symbol,Adcy3
symbol,Adcy6
symbol,Adcy7
symbol,Adcy8
symbol,Adcy9
symbol,Add1
symbol,Add2
symbol,Add3
symbol,Adgb
symbol,Adgra2
symbol,Adgra3
symbol,Adgre5
symbol,Adgrf2
symbol,Adgrf4
symbol,Adgrf5
symbol,Adgrg1
symbol,Adgrg2
symbol,Adgrg3
symbol,Adgrg5
symbol,Adgrg6
symbol,Adgrl1
symbol,Adgrl2
symbol,Adgrl3
symbol,Adgrl4
symbol,Adh5
symbol,Adh7
symbol,Adhfe1
symbol,Adi1
symbol,Adipor1
symbol,Adipor2
symbol,Adk
symbol,Adm
symbol,Adm2
symbol,Adnp
symbol,Adnp2
symbol,Ado
symbol,Adora2a
symbol,Adora2b
symbol,Adpgk
symbol,Adprh
symbol,Adprhl2
symbol,Adprm
symbol,Adra1b
symbol,Adra1d
symbol,Adra2a
symbol,Adrb2
symbol,Adrm1
symbol,Adsl
symbol,Adss
symbol,Adssl1
symbol,Aebp1
symbol,Aebp2
symbol,Aen
symbol,Aes
symbol,Afap1
symbol,Afap1l1
symbol,Afap1l2
symbol,Afdn
symbol,Aff1
symbol,Aff3
symbol,Aff4
symbol,Afg1l
symbol,Afg3l1
symbol,Afg3l2
symbol,Afmid
symbol,Aftph
symbol,Aga
symbol,Agap1
symbol,Agap3
symbol,Agbl2
symbol,Agbl3
symbol,Agbl4
symbol,Agbl5
symbol,Ager
symbol,Agfg1
symbol,Agfg2
symbol,Aggf1
symbol,Agk
symbol,Agl
symbol,Agmat
symbol,Ago1
symbol,Ago2
symbol,Ago3
symbol,Ago4
symbol,Agpat1
symbol,Agpat2
symbol,Agpat3
symbol,Agpat4
symbol,Agpat5
symbol,Agps
symbol,Agrn
symbol,Agrp
symbol,Agtpbp1
symbol,Agtrap
symbol,Ahctf1
symbol,Ahcy
symbol,Ahcyl1
symbol,Ahcyl2
symbol,Ahdc1
symbol,Ahi1
symbol,Ahnak
symbol,Ahnak2
symbol,Ahr
symbol,Ahrr
symbol,Ahsa1
symbol,Ahsa2
symbol,Aida
symbol,Aif1l
symbol,Aifm1
symbol,Aifm2
symbol,Aig1
symbol,Aimp1
symbol,Aimp2
symbol,Aip
symbol,Aipl1
symbol,Airn
